,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
148,Lamar,33,20,13,.606,-5.62,-6.90,12,6,13,2,6,10,2597,2322,,71.3,108.8,.416,.336,.548,54.9,53.1,11.9,8.3,.514,16.6,37.2,.286
149,Lehigh,31,20,11,.645,-2.03,-4.16,12,6,11,3,9,8,2479,2413,,72.4,109.5,.349,.382,.600,50.5,54.7,7.6,6.3,.564,16.8,23.6,.271
150,Liberty,34,28,6,.824,4.79,-5.12,14,2,16,1,11,3,2516,2066,,65.3,113.3,.258,.435,.597,51.7,54.8,9.8,8.2,.571,15.0,25.9,.199
151,Lipscomb,32,25,7,.781,8.59,-2.94,14,2,14,3,11,4,2670,2209,,74.9,111.4,.366,.392,.590,53.3,59.7,10.1,7.6,.556,15.8,27.0,.275
152,Long Beach State,33,15,18,.455,-4.23,-0.23,8,8,9,5,4,12,2478,2509,,73.4,101.1,.413,.310,.525,48.8,46.0,8.6,7.8,.486,16.5,29.1,.285
153,Long Island University,32,16,16,.500,-8.68,-8.78,9,9,8,5,7,9,2373,2337,,72.9,101.4,.342,.432,.543,50.1,52.3,9.3,12.0,.511,17.7,27.8,.240
154,Longwood,32,15,17,.469,-9.67,-7.26,5,11,9,5,5,11,2228,2243,,68.9,99.9,.345,.501,.545,50.8,49.1,8.9,7.4,.509,18.3,24.7,.252
155,Louisiana,32,19,13,.594,-1.74,-1.18,10,8,10,4,7,7,2612,2575,,74.9,108.2,.351,.403,.554,48.5,53.8,9.3,10.0,.516,15.2,29.8,.261
156,Louisiana-Monroe,32,18,14,.563,1.49,-1.87,9,9,13,2,4,12,2517,2371,,69.3,112.7,.368,.442,.582,49.5,53.5,8.3,6.2,.541,14.1,26.9,.287
157,Louisiana State,31,26,5,.839,17.40,8.70,16,2,15,2,9,1,2531,2261,,70.6,112.5,.384,.344,.560,53.4,46.1,12.7,12.1,.517,15.3,37.3,.290
158,Louisiana Tech,33,20,13,.606,1.36,-1.90,9,9,15,1,4,10,2386,2235,,68.0,105.2,.358,.392,.529,50.6,52.4,8.4,10.0,.501,14.6,30.2,.235
159,Louisville,33,20,13,.606,18.60,11.88,10,8,14,4,5,6,2460,2238,,68.5,107.1,.351,.437,.552,52.5,53.4,6.4,7.9,.509,15.5,29.2,.272
160,Loyola (IL),33,20,13,.606,4.38,-0.18,12,6,13,4,5,6,2170,1996,,63.6,103.4,.330,.337,.574,50.7,55.7,10.2,7.0,.555,17.2,20.1,.220
161,Loyola Marymount,31,20,11,.645,3.27,1.38,8,8,11,4,7,6,2094,1951,,65.3,103.5,.380,.283,.545,52.6,55.5,11.1,10.4,.502,17.1,30.6,.283
162,Loyola (MD),32,11,21,.344,-8.78,-4.25,7,11,7,5,3,16,2332,2477,,70.4,102.4,.336,.336,.548,48.3,53.2,12.2,6.2,.516,17.3,27.3,.239
163,Maine,32,5,27,.156,-14.74,-3.84,3,13,3,9,2,18,1988,2271,,64.6,94.0,.262,.374,.512,48.8,63.1,11.3,10.7,.490,19.1,26.2,.170
164,Manhattan,32,11,21,.344,-12.59,-7.03,8,10,4,9,4,11,1833,2011,,62.7,91.0,.333,.410,.493,49.0,55.3,10.9,8.6,.474,20.8,29.5,.194
165,Marist,31,12,19,.387,-9.19,-7.22,7,11,4,7,6,11,2086,2147,,65.6,101.8,.322,.410,.549,48.8,51.0,8.4,6.2,.523,16.9,24.2,.220
166,Marquette,32,24,8,.750,16.50,7.53,12,6,16,3,6,4,2486,2199,,70.5,108.8,.348,.417,.581,53.4,51.8,6.8,11.3,.544,17.2,28.8,.265
167,Marshall,33,19,14,.576,-1.13,0.23,11,7,12,3,6,10,2647,2692,,75.9,104.5,.305,.456,.551,43.9,51.4,11.9,10.6,.521,14.7,22.5,.222
168,Maryland-Baltimore County,33,21,12,.636,-5.30,-5.86,11,5,13,4,6,7,2247,2111,,65.9,100.2,.302,.422,.531,50.5,55.0,11.7,9.1,.504,16.4,25.8,.208
169,Maryland-Eastern Shore,32,7,25,.219,-23.94,-7.64,5,11,5,7,2,17,1833,2291,,65.5,87.1,.287,.358,.473,45.5,54.2,8.8,7.3,.441,18.2,23.5,.193
170,Maryland,32,22,10,.688,16.87,10.59,13,7,15,3,6,5,2283,2082,,66.3,107.6,.329,.370,.556,56.1,52.4,6.6,13.3,.519,17.0,33.9,.246
171,Massachusetts-Lowell,32,15,17,.469,-7.93,-6.59,7,9,8,5,5,12,2456,2420,,71.9,106.0,.345,.389,.570,49.8,57.1,7.8,6.8,.539,17.2,27.2,.248
172,Massachusetts,32,11,21,.344,-2.55,0.29,4,14,9,8,1,11,2263,2354,,68.4,102.6,.313,.399,.537,52.0,58.0,7.0,8.0,.511,17.4,31.3,.213
173,McNeese State,31,9,22,.290,-14.04,-5.78,5,13,7,8,2,14,2149,2303,,68.4,100.9,.386,.327,.542,50.6,56.4,6.9,8.8,.504,18.5,30.4,.275
174,Memphis,32,20,12,.625,9.78,4.18,11,7,15,2,3,7,2604,2425,,76.0,106.2,.376,.363,.553,51.6,55.3,10.3,10.9,.519,17.2,33.3,.266
175,Mercer,31,11,20,.355,-2.45,0.18,6,12,9,6,2,12,2248,2246,,69.1,104.5,.371,.380,.547,49.2,49.9,9.6,8.5,.516,16.5,29.1,.255
176,Miami (FL),32,14,18,.438,10.19,9.50,5,13,11,5,0,10,2297,2275,,68.5,104.4,.308,.435,.542,47.7,51.3,9.6,8.7,.508,14.9,25.8,.227
177,Miami (OH),32,15,17,.469,1.18,2.71,7,11,10,5,4,10,2267,2233,,68.8,102.6,.339,.450,.529,52.0,44.9,8.7,8.2,.494,16.2,29.8,.241
178,Michigan State,31,25,6,.806,25.62,11.82,16,4,15,1,8,4,2471,2043,,68.8,115.0,.352,.377,.593,56.1,67.9,7.6,14.2,.561,16.2,34.7,.262
179,Michigan,31,26,5,.839,21.97,10.39,15,5,17,1,7,4,2183,1824,,65.5,107.4,.282,.396,.544,50.1,51.9,9.4,10.4,.519,12.2,24.6,.196
180,Middle Tennessee,32,11,21,.344,-5.65,1.88,8,10,9,5,2,11,2141,2313,,70.3,95.2,.297,.350,.505,52.3,45.4,8.5,7.6,.476,19.5,32.1,.201
181,Milwaukee,31,9,22,.290,-8.69,-2.29,4,14,6,8,3,12,2146,2315,,68.9,100.0,.279,.380,.521,49.3,46.4,6.8,9.4,.485,15.6,26.0,.208
182,Minnesota,32,20,12,.625,13.13,10.63,9,11,14,3,2,9,2283,2203,,68.3,104.1,.429,.292,.523,52.2,59.4,7.1,10.4,.483,15.1,32.2,.292
183,Mississippi State,32,23,9,.719,16.88,9.22,10,8,14,3,5,5,2476,2231,,68.6,111.9,.324,.389,.575,53.0,51.8,11.8,13.9,.547,16.6,34.7,.233
184,Mississippi Valley State,32,6,26,.188,-22.35,-6.87,4,14,6,6,0,20,2058,2498,,70.6,90.7,.336,.288,.461,47.6,49.5,7.8,5.8,.424,15.7,28.9,.222
185,Mississippi,32,20,12,.625,13.32,8.29,10,8,11,5,6,5,2413,2252,,69.2,108.5,.317,.395,.569,51.1,54.2,10.5,9.8,.530,16.0,30.4,.248
186,Missouri-Kansas City,32,11,21,.344,-6.11,-1.05,6,10,8,5,3,13,2220,2341,,68.6,100.3,.329,.406,.535,45.4,45.5,10.5,8.0,.504,15.9,23.7,.230
187,Missouri State,32,16,16,.500,-0.93,-0.77,10,8,11,4,5,9,2206,2157,,66.5,103.2,.366,.379,.548,49.7,45.7,10.3,12.1,.517,16.1,26.1,.253
188,Missouri,32,15,17,.469,9.01,9.57,5,13,9,7,2,8,2150,2168,,66.1,100.9,.298,.412,.534,52.9,46.7,7.0,5.2,.505,18.2,31.9,.210
189,Monmouth,35,14,21,.400,-10.36,-4.53,10,8,6,6,5,11,2286,2490,,68.4,94.1,.403,.295,.501,50.0,47.7,9.8,11.1,.458,18.0,29.1,.277
190,Montana State,32,15,17,.469,-7.74,-5.65,11,9,9,4,4,12,2502,2552,,71.6,109.2,.346,.435,.571,49.6,57.2,7.4,4.3,.537,15.2,26.1,.255
191,Montana,32,24,8,.750,0.93,-5.73,16,4,12,2,9,5,2464,2212,,68.6,111.7,.327,.383,.591,52.0,52.7,9.6,8.3,.570,15.6,27.5,.225
192,Morehead State,33,13,20,.394,-7.68,-1.71,8,10,7,7,4,11,2431,2543,,70.6,103.2,.328,.382,.528,48.8,51.5,7.9,10.8,.494,14.9,29.0,.231
193,Morgan State,30,9,21,.300,-15.70,-10.34,4,12,6,7,2,13,2159,2304,,73.8,96.6,.349,.271,.483,47.2,47.3,10.3,4.4,.438,15.2,31.8,.249
194,Mount St. Mary's,31,9,22,.290,-14.20,-5.65,6,12,4,9,5,13,2092,2286,,69.5,97.1,.338,.412,.513,47.4,48.3,6.8,9.7,.481,16.8,26.4,.230
195,Murray State,31,27,4,.871,8.82,-4.39,16,2,15,1,10,3,2582,2101,,71.7,116.1,.333,.368,.590,52.6,59.8,10.6,11.7,.560,14.7,32.0,.246
196,Navy,31,12,19,.387,-9.82,-3.72,8,10,8,6,4,13,2061,2250,,68.3,97.3,.305,.367,.504,52.4,54.5,7.9,5.7,.468,17.6,31.5,.218
197,Omaha,32,21,11,.656,-2.14,-3.20,13,3,10,2,9,8,2523,2454,,70.0,111.7,.237,.360,.568,49.2,43.1,8.0,5.7,.546,12.0,24.9,.171
198,Nebraska,33,18,15,.545,16.07,11.69,6,14,12,5,2,9,2372,2191,,67.5,106.2,.329,.376,.525,48.2,50.6,10.7,11.0,.493,12.4,28.0,.228
199,Nevada-Las Vegas,31,17,14,.548,1.97,0.87,11,7,10,6,6,5,2276,2242,,69.0,105.5,.349,.402,.527,53.3,50.4,8.5,9.6,.495,15.7,35.1,.239
200,Nevada,32,29,3,.906,17.32,2.60,15,3,15,0,9,3,2606,2135,,71.1,114.5,.413,.428,.578,51.6,55.4,8.7,11.1,.544,12.6,26.4,.294
201,New Hampshire,29,5,24,.172,-18.30,-5.67,3,13,4,10,1,14,1742,1990,,67.1,89.5,.232,.475,.474,47.8,52.2,6.0,5.5,.455,16.2,23.2,.142
202,New Mexico State,32,28,4,.875,9.55,-2.85,15,1,16,1,10,1,2489,2052,,68.3,113.4,.344,.461,.557,57.0,53.9,8.4,8.0,.531,14.6,37.3,.232
203,New Mexico,32,14,18,.438,-0.17,1.99,7,11,9,7,4,9,2443,2454,,74.5,102.5,.387,.438,.536,50.2,54.8,9.2,8.4,.498,16.6,28.7,.271
204,New Orleans,30,18,12,.600,-8.36,-6.44,12,6,12,3,5,9,2156,2077,,71.0,99.5,.353,.288,.526,49.7,57.5,12.4,11.4,.493,18.7,33.1,.241
205,Niagara,32,13,19,.406,-11.05,-7.49,6,12,8,8,5,10,2318,2432,,70.4,102.6,.333,.391,.530,49.8,43.1,5.7,10.2,.492,15.1,26.6,.245
206,Nicholls State,31,14,17,.452,-11.48,-6.59,7,11,9,4,3,13,2260,2302,,71.2,101.6,.218,.461,.535,45.7,53.0,9.3,10.4,.506,15.4,24.3,.168
207,NJIT,33,21,12,.636,-3.42,-4.64,8,8,10,4,11,8,2310,2238,,68.9,100.8,.389,.373,.548,48.9,44.7,9.2,7.6,.510,16.3,21.4,.280
208,Norfolk State,32,20,12,.625,-8.35,-9.56,14,2,11,2,8,7,2390,2229,,72.2,102.2,.397,.373,.549,50.3,51.9,8.0,13.6,.510,17.9,27.6,.286
209,North Alabama,32,10,22,.313,-10.89,-1.58,7,9,8,4,2,18,2145,2358,,71.1,93.9,.323,.421,.486,49.4,44.9,9.2,6.5,.451,16.5,27.5,.218
210,North Carolina-Asheville,31,4,27,.129,-19.74,-2.27,2,14,3,10,1,15,1857,2313,,64.2,92.9,.269,.422,.506,46.5,50.5,9.8,9.0,.471,19.9,29.1,.199
211,North Carolina A&T,31,19,12,.613,-10.93,-9.58,13,3,11,2,7,10,2178,2144,,68.1,102.3,.302,.362,.545,47.7,54.7,9.8,9.1,.523,16.8,27.4,.200
212,North Carolina Central,31,16,15,.516,-11.76,-11.41,10,6,10,2,4,12,2240,2078,,69.0,104.2,.327,.361,.548,54.8,60.0,9.1,7.6,.516,19.0,35.3,.235
213,North Carolina-Greensboro,34,28,6,.824,4.59,-0.75,15,3,14,1,11,4,2585,2288,,69.7,108.7,.307,.371,.548,50.8,46.2,12.7,11.6,.520,14.5,31.8,.215
214,North Carolina State,33,22,11,.667,16.42,7.09,9,9,15,4,4,6,2627,2319,,71.6,110.3,.288,.361,.548,52.8,52.0,10.2,10.1,.521,14.9,35.4,.204
215,North Carolina-Wilmington,33,10,23,.303,-7.59,-1.53,5,13,5,9,2,12,2515,2670,,70.3,107.2,.339,.374,.545,52.4,56.2,6.4,6.0,.509,15.9,32.2,.248
216,North Carolina,32,27,5,.844,25.38,11.81,16,2,14,2,11,1,2767,2333,,76.2,113.0,.312,.358,.565,56.3,61.8,9.5,10.2,.533,14.8,34.4,.231
217,North Dakota State,33,18,15,.545,-3.93,-2.48,9,7,10,3,4,9,2416,2382,,66.7,108.9,.317,.474,.578,48.9,46.3,7.2,6.6,.543,14.3,20.9,.245
218,North Dakota,30,12,18,.400,-8.48,-3.25,6,10,8,6,4,11,2220,2196,,71.5,103.5,.272,.365,.555,48.9,48.4,8.0,7.3,.532,16.0,22.6,.189
219,North Florida,33,16,17,.485,-3.34,-0.57,9,7,10,3,5,13,2485,2531,,74.0,101.3,.268,.445,.547,49.8,57.6,8.6,10.8,.524,19.1,30.3,.185
220,North Texas,33,21,12,.636,0.11,-3.12,8,10,12,4,6,7,2302,2077,,67.5,103.0,.279,.439,.532,53.2,51.5,9.4,7.9,.509,17.0,31.5,.186
221,Northeastern,33,23,10,.697,5.03,-0.79,14,4,11,2,8,6,2511,2319,,66.2,112.9,.343,.463,.603,50.1,54.7,9.1,5.9,.572,15.1,22.7,.257
222,Northern Arizona,31,10,21,.323,-10.57,-6.05,8,12,5,7,5,13,2262,2402,,70.0,103.4,.338,.412,.536,48.6,48.5,9.0,6.5,.503,15.0,25.7,.238
223,Northern Colorado,32,21,11,.656,-3.84,-6.67,15,5,10,3,11,5,2450,2229,,68.6,110.3,.345,.462,.574,52.2,49.9,7.9,7.9,.547,15.7,28.8,.243
224,Northern Illinois,33,17,16,.515,3.08,1.43,8,10,10,6,5,9,2439,2342,,68.4,106.8,.274,.318,.556,51.0,40.0,8.1,7.2,.528,15.1,27.0,.200
225,Northern Iowa,34,16,18,.471,-1.19,0.96,9,9,9,5,3,9,2215,2230,,65.8,99.0,.291,.429,.527,50.0,48.1,7.4,6.7,.491,15.8,23.1,.217
226,Northern Kentucky,34,26,8,.765,4.67,-3.08,13,5,17,1,7,7,2690,2338,,69.9,112.4,.361,.414,.578,53.1,60.8,8.9,11.6,.557,15.4,31.0,.240
227,Northwestern State,31,11,20,.355,-16.79,-5.72,6,12,8,7,3,13,2051,2280,,70.7,92.8,.338,.361,.494,47.8,46.9,8.7,12.1,.458,19.3,29.9,.230
228,Northwestern,32,13,19,.406,10.64,9.83,4,16,10,8,1,9,2108,2082,,66.8,97.8,.302,.408,.505,48.4,61.4,8.2,11.1,.466,14.3,24.3,.222
229,Notre Dame,33,14,19,.424,8.74,9.04,3,15,11,8,1,9,2266,2276,,66.4,103.3,.301,.437,.502,48.4,54.5,8.2,11.7,.462,11.9,29.0,.224
230,Oakland,33,16,17,.485,-2.07,-1.29,11,7,10,6,6,10,2534,2515,,69.9,109.4,.357,.439,.583,47.4,67.2,8.2,7.8,.549,16.4,25.2,.265
231,Ohio State,32,19,13,.594,14.46,10.71,8,12,12,6,4,7,2228,2108,,66.9,103.7,.344,.395,.540,51.0,58.3,8.8,7.4,.503,16.2,28.0,.251
232,Ohio,31,14,17,.452,-1.45,3.55,6,12,11,5,3,10,2174,2288,,71.5,96.9,.328,.344,.512,50.9,56.2,8.9,10.1,.488,17.4,29.0,.207
233,Oklahoma State,32,12,20,.375,8.11,11.55,5,13,8,7,2,10,2178,2288,,67.1,101.0,.306,.419,.529,48.6,55.5,8.5,13.1,.501,15.8,26.4,.210
234,Oklahoma,32,19,13,.594,14.83,11.89,7,11,11,4,5,7,2277,2183,,69.8,101.6,.314,.333,.531,50.4,48.9,8.5,8.5,.502,15.4,26.1,.217
235,Old Dominion,32,24,8,.750,3.96,-1.57,13,5,14,2,8,4,2129,1952,,65.7,101.2,.302,.380,.504,53.5,54.3,8.8,14.2,.479,15.1,32.3,.196
236,Oral Roberts,32,11,21,.344,-9.17,-1.74,7,9,7,6,3,13,2314,2483,,69.1,104.2,.263,.392,.549,52.1,50.8,6.8,9.3,.527,17.5,30.3,.181
237,Oregon State,31,18,13,.581,7.98,4.43,10,8,10,5,6,5,2275,2165,,67.2,108.3,.368,.366,.560,51.7,58.1,8.8,14.9,.522,15.9,30.6,.273
238,Oregon,33,21,12,.636,12.30,5.02,10,8,13,4,5,7,2320,2080,,66.1,105.9,.296,.395,.546,51.2,52.9,11.7,14.2,.516,15.4,29.3,.213
239,Pacific,32,14,18,.438,-2.02,2.41,4,12,9,7,5,10,2138,2241,,66.7,99.4,.414,.336,.532,51.2,45.4,9.1,5.0,.482,17.4,27.0,.310
240,Penn State,32,14,18,.438,13.21,12.18,7,13,9,6,3,9,2229,2196,,68.2,101.0,.323,.365,.509,51.6,49.2,11.1,10.4,.475,15.4,31.6,.224
241,Pennsylvania,30,19,11,.633,2.73,-0.44,7,7,10,4,8,5,2192,2051,,69.3,103.3,.284,.445,.549,50.0,57.1,9.6,6.2,.532,16.1,24.9,.181
242,Pepperdine,34,16,18,.471,1.28,1.00,6,10,9,5,2,11,2572,2529,,70.7,106.3,.357,.420,.564,47.4,55.4,9.5,8.2,.524,15.9,24.9,.271
243,Pittsburgh,33,14,19,.424,8.63,7.45,3,15,11,7,0,11,2306,2267,,68.6,101.1,.423,.369,.521,49.9,50.3,10.0,11.1,.479,16.8,32.1,.295
244,Portland State,32,16,16,.500,-8.81,-5.64,11,9,12,4,3,10,2475,2404,,72.2,106.3,.371,.381,.522,54.7,50.7,11.3,11.4,.483,15.9,38.8,.260
245,Portland,32,7,25,.219,-10.36,0.94,0,16,6,11,1,12,2078,2389,,68.4,94.2,.391,.389,.513,46.3,52.2,7.9,11.1,.477,17.3,21.1,.262
246,Prairie View,32,20,12,.625,-7.51,-9.26,17,1,11,0,9,12,2378,2308,,72.3,102.8,.418,.338,.525,47.0,49.9,12.1,4.9,.488,15.3,30.2,.283
247,Presbyterian,33,18,15,.545,-3.18,-5.32,9,7,12,3,6,11,2601,2389,,69.5,112.9,.323,.479,.572,49.7,58.3,8.4,6.2,.542,12.5,26.1,.235
248,Princeton,27,16,11,.593,-3.14,-0.74,8,6,7,5,8,5,1871,1868,,69.7,98.0,.300,.408,.510,50.3,43.5,8.6,6.9,.472,15.8,26.3,.222
249,Providence,33,18,15,.545,9.18,7.18,7,11,11,6,5,6,2356,2290,,68.7,101.9,.388,.349,.521,51.1,58.6,10.5,11.0,.482,16.2,31.6,.268
250,Purdue,31,23,8,.742,21.79,12.05,16,4,15,0,6,6,2365,2063,,66.4,114.0,.299,.448,.559,53.9,53.4,9.8,13.4,.529,13.6,34.9,.218
251,Quinnipiac,30,16,14,.533,-6.20,-7.87,11,7,7,7,9,5,2213,2163,,67.6,106.5,.378,.538,.562,50.8,54.2,7.5,5.2,.526,17.2,29.3,.274
252,Radford,33,22,11,.667,1.39,-1.84,12,4,11,3,9,7,2440,2247,,66.4,110.5,.266,.387,.559,52.7,52.3,8.9,10.1,.535,14.1,29.9,.191
253,Rhode Island,31,17,14,.548,3.37,1.24,9,9,9,5,5,7,2167,2101,,68.5,100.9,.373,.324,.511,51.3,49.4,10.6,11.6,.476,15.2,30.9,.252
254,Rice,32,13,19,.406,-6.24,-1.74,8,10,9,7,4,11,2367,2481,,71.7,101.2,.392,.426,.536,51.3,53.3,7.3,8.5,.502,16.6,26.5,.269
255,Richmond,33,13,20,.394,-0.99,-0.41,6,12,7,10,4,7,2314,2333,,66.6,105.3,.307,.402,.561,44.9,61.1,11.3,8.8,.541,14.0,18.7,.203
256,Rider,31,16,15,.516,-4.67,-6.22,11,7,9,3,6,10,2381,2333,,74.1,103.2,.399,.344,.529,50.4,53.1,12.2,10.1,.506,15.6,30.3,.246
257,Robert Morris,33,17,16,.515,-9.43,-7.47,11,7,12,3,5,13,2280,2237,,68.1,100.3,.330,.393,.534,50.3,56.8,10.5,7.9,.502,18.6,30.2,.230
258,Rutgers,31,14,17,.452,9.60,10.47,7,13,10,7,4,9,2105,2132,,68.1,99.0,.317,.332,.497,52.8,50.6,9.4,11.3,.470,16.1,33.4,.202
259,Sacramento State,31,15,16,.484,-8.61,-6.61,8,12,9,5,4,10,2197,2155,,69.4,101.2,.329,.293,.528,50.0,53.5,11.0,10.0,.496,16.3,28.2,.228
260,Sacred Heart,32,15,17,.469,-7.51,-7.73,11,7,10,3,4,13,2558,2509,,74.0,107.6,.375,.354,.564,53.0,53.2,7.2,10.7,.523,17.0,31.3,.283
261,Saint Francis (PA),32,18,14,.563,-8.49,-6.45,12,6,12,4,6,10,2445,2419,,70.7,108.1,.345,.356,.533,52.2,46.7,9.5,8.0,.499,14.5,34.4,.243
262,Saint Joseph's,32,14,18,.438,0.10,1.95,6,12,10,5,2,11,2268,2327,,68.7,102.7,.318,.452,.523,48.5,50.5,8.0,10.2,.483,11.9,21.5,.239
263,Saint Louis,32,20,12,.625,4.28,1.72,10,8,15,2,4,8,2161,2079,,67.7,99.7,.410,.327,.494,54.6,54.0,10.7,11.9,.468,16.2,36.2,.245
264,Saint Mary's (CA),33,22,11,.667,13.06,4.52,11,5,14,3,5,5,2406,2124,,64.5,112.6,.297,.350,.570,54.4,37.9,9.3,6.9,.540,14.1,31.2,.221
265,Saint Peter's,32,10,22,.313,-11.86,-6.11,6,12,7,7,2,14,2012,2196,,64.3,95.9,.348,.346,.527,50.9,42.6,8.2,17.7,.487,20.4,29.2,.253
266,Sam Houston State,31,21,10,.677,-2.55,-5.98,16,2,12,2,8,8,2331,2146,,68.7,107.2,.261,.423,.550,51.4,61.7,10.7,9.1,.521,15.6,30.7,.195
267,Samford,33,17,16,.515,1.05,-1.67,6,12,11,6,5,9,2583,2487,,71.2,107.1,.341,.352,.570,50.3,50.1,9.9,10.9,.537,17.0,28.1,.250
268,San Diego State,32,20,12,.625,5.12,2.18,11,7,14,3,4,7,2315,2171,,69.1,104.7,.357,.373,.543,51.5,58.2,8.5,10.2,.507,16.0,29.6,.255
269,San Diego,35,21,14,.600,6.79,3.79,7,9,12,4,5,8,2531,2381,,67.9,105.0,.326,.404,.564,51.8,56.4,8.2,8.5,.530,16.5,24.3,.244
270,San Francisco,31,21,10,.677,8.96,1.53,9,7,13,3,6,5,2358,2101,,67.3,112.1,.307,.393,.556,52.2,50.8,8.9,8.8,.536,13.1,30.8,.201
271,San Jose State,31,4,27,.129,-15.95,1.02,1,17,4,11,0,12,2042,2534,,71.3,91.7,.351,.363,.496,49.6,59.3,5.9,5.1,.463,19.0,27.9,.230
272,Santa Clara,31,16,15,.516,-1.58,1.25,8,8,11,6,4,6,2115,2172,,67.4,100.0,.343,.401,.550,49.3,56.6,6.9,9.5,.516,18.4,24.3,.245
273,Savannah State,31,11,20,.355,-20.30,-8.84,8,8,6,5,4,14,2360,2694,,78.1,97.0,.255,.576,.506,46.2,56.0,9.6,7.9,.481,17.0,28.2,.173
274,Seattle,32,18,14,.563,-0.86,-3.50,6,10,12,5,4,8,2352,2210,,69.8,104.5,.344,.331,.536,52.1,44.5,6.2,9.3,.500,15.1,29.2,.247
275,Seton Hall,31,19,12,.613,11.17,8.56,9,9,11,4,3,8,2287,2206,,70.1,104.0,.342,.364,.537,49.8,52.0,10.1,10.9,.502,15.6,29.1,.245
276,Siena,33,17,16,.515,-7.67,-6.25,11,7,7,7,8,7,2131,2178,,61.4,103.2,.247,.478,.536,46.8,53.5,9.2,8.3,.515,13.9,23.2,.168
277,South Alabama,33,17,16,.515,-4.00,-2.58,8,10,13,6,3,10,2411,2386,,68.9,104.9,.351,.402,.562,47.9,54.5,8.5,11.4,.536,16.9,25.8,.240
278,South Carolina State,34,8,26,.235,-16.66,-8.10,5,11,5,6,2,19,2388,2593,,69.2,100.3,.409,.307,.529,50.6,47.6,7.0,5.4,.480,17.9,32.2,.303
279,South Carolina Upstate,32,6,26,.188,-15.16,-4.13,1,16,5,9,1,15,2169,2395,,69.4,96.9,.262,.437,.515,46.7,56.0,9.2,8.1,.485,17.3,26.2,.187
280,South Carolina,31,16,15,.516,8.73,9.76,11,7,11,6,4,8,2263,2243,,71.5,101.8,.363,.342,.519,49.7,51.1,8.8,12.6,.484,16.0,31.9,.248
281,South Dakota State,32,24,8,.750,6.01,-5.19,14,2,14,1,7,5,2716,2346,,73.0,116.3,.328,.408,.618,53.3,49.7,8.5,5.9,.587,14.7,23.4,.255
282,South Dakota,30,13,17,.433,-5.24,-2.77,7,9,8,6,4,8,2118,2136,,68.1,103.3,.352,.400,.546,47.9,52.4,8.0,6.4,.507,14.3,22.0,.260
283,South Florida,32,19,13,.594,5.51,1.42,8,10,14,5,4,6,2312,2144,,69.1,102.5,.500,.382,.527,55.2,58.0,11.2,9.9,.491,18.9,37.8,.321
284,Southeast Missouri State,31,10,21,.323,-11.26,-4.33,5,13,6,8,2,13,2216,2378,,70.2,99.8,.287,.397,.539,48.8,50.5,8.2,6.9,.514,17.9,25.7,.198
285,Southeastern Louisiana,32,17,15,.531,-7.33,-6.10,12,6,9,5,7,9,2158,2159,,67.6,99.7,.367,.402,.544,52.3,59.6,9.7,6.9,.508,20.8,32.8,.263
286,Southern California,33,16,17,.485,8.31,5.03,8,10,12,5,2,9,2518,2410,,71.0,105.8,.276,.360,.546,48.7,57.2,8.5,9.4,.528,14.5,26.9,.178
287,SIU Edwardsville,31,10,21,.323,-14.35,-4.93,6,12,7,8,2,11,2265,2520,,71.9,98.4,.357,.350,.510,48.2,48.1,8.6,6.1,.471,16.5,28.7,.251
288,Southern Illinois,32,17,15,.531,1.65,0.09,10,8,9,6,7,7,2194,2144,,66.8,102.7,.320,.331,.554,50.8,54.6,9.9,11.7,.528,18.4,28.6,.219
289,Southern Methodist,31,15,16,.484,5.79,3.79,6,12,10,8,3,7,2229,2167,,66.6,107.9,.280,.414,.539,51.0,53.7,8.9,11.5,.510,14.1,32.6,.201
290,Southern Mississippi,31,20,11,.645,4.44,-0.45,11,7,11,3,7,6,2265,2000,,67.4,107.4,.253,.360,.555,50.6,61.6,11.6,11.0,.540,13.6,24.8,.165
291,Southern Utah,31,16,15,.516,-8.92,-6.37,9,11,10,3,4,12,2365,2346,,73.4,102.7,.365,.400,.551,50.1,48.4,8.0,9.1,.516,16.5,23.9,.260
292,Southern,32,7,25,.219,-16.67,-7.25,6,12,6,5,1,18,2077,2360,,68.4,94.6,.344,.318,.522,47.9,49.5,9.8,8.1,.492,20.4,29.4,.230
293,St. Bonaventure,31,16,15,.516,3.03,0.48,12,6,9,5,6,7,2061,1982,,65.6,99.3,.280,.330,.519,50.7,50.3,9.2,14.7,.487,16.6,28.7,.204
294,St. Francis (NY),32,17,15,.531,-9.79,-8.29,9,9,11,3,6,11,2273,2239,,70.5,100.3,.296,.403,.517,49.3,45.3,8.3,10.4,.490,15.5,27.6,.200
295,St. John's (NY),33,21,12,.636,8.88,6.15,8,10,11,4,4,7,2558,2468,,72.4,105.9,.294,.383,.553,45.7,50.2,12.0,10.0,.523,12.8,21.3,.213
296,Stanford,31,15,16,.484,6.28,5.38,8,10,10,4,4,9,2255,2227,,71.8,100.8,.361,.366,.540,51.4,48.5,8.3,10.8,.512,18.3,29.8,.242
